input_count,fittest_count,fittest_correctness
45,11,100.0
69,26,100.0
67,25,100.0
76,27,100.0
86,24,100.0
95,24,100.0
100,25,100.0
100,25,68.0
98,25,100.0
99,25,20.0
45,12,100.0
67,25,100.0
61,25,100.0
93,16,100.0
88,27,100.0
96,12,100.0
95,10,100.0
45,25,100.0
56,26,100.0
78,27,100.0
45,10,100.0
64,29,100.0
86,25,100.0
90,15,100.0
98,28,100.0
100,25,68.0
97,25,96.0
97,25,72.0
97,23,100.0
100,25,100.0
45,10,100.0
66,25,100.0
87,26,100.0
51,25,100.0
15,12,100.0
86,25,100.0
87,25,100.0
88,25,100.0
92,27,100.0
96,14,100.0
45,11,100.0
67,25,100.0
88,26,100.0
92,25,100.0
98,25,100.0
100,25,100.0
99,25,100.0
100,25,100.0
99,25,100.0
100,25,80.0
45,10,100.0
67,25,100.0
86,25,100.0
97,27,100.0
97,25,100.0
99,13,100.0
83,26,100.0
94,13,100.0
76,26,100.0
90,19,100.0
45,12,100.0
68,25,100.0
95,25,100.0
99,29,100.0
98,18,100.0
53,25,100.0
76,18,100.0
64,6,100.0
62,6,100.0
66,25,100.0
45,12,100.0
68,26,100.0
83,25,100.0
99,25,100.0
100,7,100.0
96,26,100.0
100,25,100.0
97,25,100.0
99,25,100.0
100,25,100.0
45,11,100.0
62,26,100.0
85,27,100.0
95,25,100.0
59,27,100.0
98,2,100.0
98,25,100.0
21,21,100.0
34,25,100.0
72,6,100.0
45,12,100.0
67,25,100.0
84,26,100.0
55,26,100.0
71,30,100.0
95,18,100.0
90,27,100.0
95,25,100.0
93,27,100.0
96,25,100.0
45,12,100.0
63,26,100.0
79,26,100.0
51,25,100.0
73,25,100.0
71,29,100.0
93,24,100.0
99,25,100.0
100,25,24.0
98,25,36.0
45,12,100.0
68,27,100.0
56,26,100.0
91,15,100.0
97,25,100.0
99,25,100.0
100,25,100.0
100,25,72.0
97,8,100.0
30,21,100.0
45,12,100.0
71,26,100.0
90,25,100.0
90,21,100.0
99,25,100.0
72,25,100.0
89,5,100.0
80,25,100.0
55,26,100.0
81,25,100.0
45,13,100.0
73,26,100.0
22,19,100.0
100,25,100.0
98,27,100.0
99,25,100.0
100,25,100.0
94,24,100.0
100,25,40.0
100,25,88.0
45,12,100.0
70,26,100.0
29,23,100.0
68,25,100.0
46,25,100.0
53,25,100.0
91,28,100.0
94,17,100.0
88,25,100.0
54,25,100.0
45,12,100.0
70,25,100.0
57,25,100.0
26,25,100.0
67,14,100.0
66,12,100.0
45,25,100.0
74,25,100.0
81,6,100.0
50,26,100.0
45,12,100.0
69,25,100.0
33,23,100.0
46,25,100.0
72,25,100.0
77,28,100.0
97,25,100.0
98,9,100.0
53,27,100.0
90,23,100.0
45,12,100.0
70,25,100.0
94,27,100.0
98,12,100.0
90,26,100.0
100,7,100.0
91,21,100.0
99,25,100.0
100,25,100.0
100,25,100.0
45,12,100.0
68,25,100.0
93,26,100.0
99,13,100.0
84,26,100.0
99,25,100.0
99,0,null
94,0,null
100,10,100.0
59,25,100.0
45,10,100.0
68,25,100.0
90,25,100.0
98,17,100.0
100,25,100.0
100,25,100.0
100,25,100.0
99,25,100.0
98,25,100.0
87,25,100.0
45,12,100.0
65,27,100.0
75,25,100.0
48,27,100.0
66,19,100.0
60,26,100.0
95,25,100.0
43,24,100.0
99,26,100.0
100,25,100.0
45,12,100.0
64,25,100.0
72,25,100.0
38,26,100.0
28,21,100.0
66,25,100.0
88,25,100.0
41,26,100.0
83,20,100.0
76,25,100.0
45,11,100.0
67,25,100.0
92,25,100.0
98,25,100.0
71,25,100.0
84,25,100.0
95,25,100.0
63,25,100.0
85,25,100.0
88,26,100.0
45,11,100.0
68,25,100.0
89,25,100.0
97,26,100.0
100,25,100.0
100,11,100.0
94,27,100.0
100,12,100.0
100,25,100.0
100,25,100.0
45,12,100.0
73,26,100.0
76,25,100.0
97,27,100.0
96,24,100.0
97,25,100.0
100,25,100.0
100,25,100.0
98,25,100.0
100,25,16.0
45,11,100.0
69,25,100.0
87,25,100.0
82,29,100.0
63,25,100.0
86,22,100.0
100,11,100.0
89,25,100.0
88,25,100.0
91,23,100.0
45,12,100.0
72,25,100.0
23,19,100.0
60,26,100.0
42,25,100.0
62,25,100.0
71,25,100.0
81,25,100.0
98,25,100.0
93,26,100.0
45,11,100.0
62,25,100.0
75,25,100.0
87,25,100.0
86,25,100.0
88,22,100.0
94,25,100.0
80,20,100.0
72,25,100.0
78,25,100.0
45,11,100.0
65,25,100.0
72,25,100.0
31,25,100.0
56,25,100.0
98,25,100.0
100,24,100.0
100,26,100.0
100,25,100.0
100,25,100.0
45,12,100.0
70,25,100.0
87,25,100.0
53,27,100.0
79,2,100.0
90,25,100.0
97,17,100.0
100,25,100.0
100,25,100.0
100,15,100.0
